NOM;1_GEN_SG;2_GEN_PL;3_NOM_DEF;
<color=#D09B61FF><color=#D09B61FF>sliogán loiscneach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sliogán múchta tine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sliogán pléascach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sliogán uath-chanóine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sluga úráiniam</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>smearadh fola</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>smionagar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>smionagar ársa</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>smionagar cloiche</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>smionagar spásloinge (ar an mbealach)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>smol</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>soc pléascáin frithdhamhna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>solas ársa</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sorn breoslaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sorn leictreach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spástointealaí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spástointealaí (ag craiseáil)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spástointealaí craiseáilte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>splanc</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spota búistéireachta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spota ceardaíochta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spota codlata</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spota codlata ainmhí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spota codlata dúbailte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spraoi-sreang</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>spréire múctha tine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sram</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sreabhán aimnianach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sreang</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sreang fholaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sreang uiscedhíonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>stól</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>stumpa briste</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>stumpa dóite</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>stumpa gearrtha</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sú fuinnimh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sú muscailte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>súil arcai-theicneolaíochta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>súil bhitheonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sútha talún</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tae sícíte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>téac</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>téacsleabhair</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>teanga bhitheonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>teileascóp</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>teilifís mórscáileáin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>teilifís réscáileáin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>téitheoir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tionctóire</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>t-léine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tóc</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tóirse</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tóirse balla</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>toitín raithní</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tolg</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tollán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tom</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tom ambróise</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tom caora</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tor gallda</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tornádó</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>torsca eilifinte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tua</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tuilsolas</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>tuirbín gaoithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>uaigh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>uath-chanóin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>uath-dhoras</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>uathphiostal</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh casabhara (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh cobra (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh éamú (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh gé (neamhthoirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh gé (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh ioguána (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh lachan (neamhthoirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh lachan (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh ostraise (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh sicín (neamhthoirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh sicín (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh toirtíse (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ubh turcaí (toirch.)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>uirlis cheoil neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>úráiniam</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (gunnán)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (lansa pléascach)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (meaisínghunna beag)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (meaisínghunna ilbhairille)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (meaisínghunna mór)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (meaisínphiostal)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (raidhfil boltála)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (raidhfil ionsaithe)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (raidhfil pléascach)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (raidhfil snípéara)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (réabaire pléascach)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (snáthaid)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (tuirín beag)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>urchar (uathphiostal)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>úrscéalta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>veist philéardhíonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>yáyó</color></color>;;;;
